GeoFIPS,GeoName,Region,Table,LineCode,IndustryClassification,Description,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
4000,Arizona,6,CA30,202,...,      Employer contributions for government social insurance,5055873,5512261,5794332,5987108,6187954,6677943,7266936,7943572,8462406,8574904,8069044,8112934,8414533,8720252,9003264,9193552,9673867,10046835
4000,Arizona,6,CA30,210,...,    Proprietors' income,9512297,9975874,10204469,11130141,12025316,13834071,15774876,18053931,16237535,13603699,12423118,10758074,11564784,12938222,15100575,15755266,17218763,18775815
4000,Arizona,6,CA30,220,...,      Farm proprietors' income,513356,438701,373110,342035,354056,624904,553598,287640,352645,186231,-102865,85040,542793,318597,738504,380784,727427,909180
4000,Arizona,6,CA30,230,...,      Nonfarm proprietors' income,8998941,9537173,9831359,10788106,11671260,13209167,15221278,17766291,15884890,13417468,12525983,10673034,11021991,12619625,14362071,15374482,16491336,17866635
4000,Arizona,6,CA30,240,...,Total employment (number of jobs),2696459,2801536,2828994,2847734,2919126,3045136,3224375,3380613,3472288,3411715,3240429,3184489,3243009,3297780,3372915,3451334,3551092,3641938
4000,Arizona,6,CA30,250,...,  Wage and salary employment,2254939,2332044,2352040,2356712,2395712,2483655,2614649,2744187,2780306,2715448,2526934,2476001,2503192,2560624,2619199,2672244,2748111,2818420
4000,Arizona,6,CA30,260,...,  Proprietors employment,441520,469492,476954,491022,523414,561481,609726,636426,691982,696267,713495,708488,739817,737156,753716,779090,802981,823518
4000,Arizona,6,CA30,270,...,    Farm proprietors employment 6/,7278,7295,10086,7356,9727,9541,9557,9446,15021,15640,16253,17192,18184,18977,18748,18758,18688,18772
4000,Arizona,6,CA30,280,...,    Nonfarm proprietors employment,434242,462197,466868,483666,513687,551940,600169,626980,676961,680627,697242,691296,721633,718179,734968,760332,784293,804746
4000,Arizona,6,CA30,290,...,Average earnings per job (dollars),34361,36202,37331,38292,39246,40982,42634,45146,45739,46176,45587,45752,46794,48170,49070,49922,50910,51908
4000,Arizona,6,CA30,300,...,  Average wages and salaries,30765,32840,33794,34450,35492,37115,38683,40629,42182,43162,43424,44140,45407,46489,46839,47835,48794,49432
4000,Arizona,6,CA30,310,...,  Average nonfarm proprietors' income,20723,20634,21058,22305,22721,23932,25362,28336,23465,19713,17965,15439,15274,17572,19541,20221,21027,22202
5000,Arkansas,5,CA30,10,...,Personal income (thousands of dollars),57896065,61029036,64205009,65583321,69393101,73711023,77736622,82701324,88227922,92390681,90880167,92913782,99296630,106664517,106466207,112682792,116227802,118697988
5000,Arkansas,5,CA30,45,...,  Net earnings by place of residence,37477656,39351531,41187054,41818783,44820541,47730259,49332199,51188290,53210882,53835367,52442903,53362645,56196542,59452946,60950770,62556495,63051120,64539294
5000,Arkansas,5,CA30,50,...,  Personal current transfer receipts,10121228,10741397,11910610,12819815,13391280,14350766,15413493,16832093,18200219,20299156,22010323,23611520,24096981,24330307,24730928,26171875,27319768,28348398
5000,Arkansas,5,CA30,60,...,    Income maintenance benefits 1/,1090917,1123407,1137195,1262198,1382055,1492539,1638027,1698162,1795772,1869785,2233547,2468670,2528456,2555331,2583113,2546115,2527061,2487852
5000,Arkansas,5,CA30,70,...,    Unemployment insurance compensation,192655,208853,310772,404104,406238,295773,271694,280253,328783,462083,1054813,940317,705525,607955,473067,280139,269925,195710
5000,Arkansas,5,CA30,80,...,    Retirement and other,8837656,9409137,10462643,11153513,11602987,12562454,13503772,14853678,16075664,17967288,18721963,20202533,20863000,21167021,21674748,23345621,24522782,25664836
5000,Arkansas,5,CA30,90,...,"  Dividends, interest, and rent 2/",10297181,10936108,11107345,10944723,11181280,11629998,12990930,14680941,16816821,18256158,16426941,15939617,19003107,22881264,20784509,23954422,25856914,25810296
5000,Arkansas,5,CA30,100,...,  Population (persons) 3/,2651860,2678588,2691571,2705927,2724816,2749686,2781097,2821761,2848650,2874554,2896843,2921995,2939493,2950685,2958663,2966912,2977853,2988248
5000,Arkansas,5,CA30,110,...,  Per capita personal income 4/,21832,22784,23854,24237,25467,26807,27952,29308,30972,32141,31372,31798,33780,36149,35985,37980,39031,39722
5000,Arkansas,5,CA30,120,...,  Per capita net earnings 4/,14133,14691,15302,15455,16449,17358,17738,18141,18679,18728,18103,18262,19118,20149,20601,21085,21173,21598
5000,Arkansas,5,CA30,130,...,  Per capita personal current transfer receipts 4/,3817,4010,4425,4738,4915,5219,5542,5965,6389,7062,7598,8081,8198,8246,8359,8821,9174,9487
5000,Arkansas,5,CA30,140,...,    Per capita income maintenance benefits 4/,411,419,423,466,507,543,589,602,630,650,771,845,860,866,873,858,849,833
5000,Arkansas,5,CA30,150,...,    Per capita unemployment insurance compensation 4/,73,78,115,149,149,108,98,99,115,161,364,322,240,206,160,94,91,65
